user_id,exercise_id,rating,completion_rate,timestamp
172,71,5,0.51,2025-07-05 05:18:26.092427
164,61,2,0.73,2025-04-17 05:18:26.096420
257,34,5,0.78,2025-01-03 05:18:26.096728
307,79,4,0.96,2025-01-16 05:18:26.096890
733,59,5,0.56,2025-07-21 05:18:26.097027
406,24,3,0.59,2025-03-25 05:18:26.097165
651,56,5,0.52,2025-01-26 05:18:26.097290
560,57,4,0.63,2025-09-04 05:18:26.097466
325,77,4,0.71,2025-08-13 05:18:26.097588
646,71,4,0.51,2025-09-15 05:18:26.097706
533,31,4,0.98,2025-04-29 05:18:26.097844
757,35,4,0.89,2025-03-18 05:18:26.097966
554,47,2,0.64,2025-07-28 05:18:26.098139
596,34,5,0.79,2025-03-06 05:18:26.098285
486,30,5,0.8,2024-12-01 05:18:26.098454
550,80,5,0.69,2025-02-10 05:18:26.098590
428,15,5,0.68,2025-08-01 05:18:26.098737
277,15,4,0.84,2025-09-04 05:18:26.098863
234,63,3,0.63,2025-06-06 05:18:26.098976
309,52,5,0.83,2025-05-22 05:18:26.099090
820,43,4,0.96,2025-03-06 05:18:26.099227
645,75,3,0.98,2025-08-09 05:18:26.099375
502,94,3,0.63,2025-03-08 05:18:26.099494
242,21,3,0.66,2025-06-03 05:18:26.099607
453,9,1,0.63,2025-06-28 05:18:26.099719
131,73,2,0.51,2025-07-18 05:18:26.099837
311,23,5,0.9,2025-09-04 05:18:26.099956
687,3,5,0.5,2025-01-02 05:18:26.100069
856,31,4,0.5,2024-10-23 05:18:26.100186
165,65,3,0.76,2024-12-11 05:18:26.100296
693,31,5,0.91,2024-10-26 05:18:26.100495
492,89,4,0.84,2025-06-06 05:18:26.100695
696,74,5,0.71,2024-11-14 05:18:26.100844
949,1,4,0.95,2025-07-09 05:18:26.101057
486,12,5,0.76,2025-03-29 05:18:26.101238
501,1,5,0.79,2025-01-03 05:18:26.101421
883,18,1,0.8,2025-06-22 05:18:26.101539
828,26,3,0.84,2025-05-31 05:18:26.101653
234,22,5,0.77,2025-01-25 05:18:26.101764
803,67,5,0.75,2025-05-31 05:18:26.101889
90,24,4,0.64,2025-09-06 05:18:26.102001
457,57,4,0.65,2024-11-19 05:18:26.102117
711,1,5,0.61,2025-08-06 05:18:26.102229
883,58,3,0.79,2025-04-10 05:18:26.102379
793,4,4,0.6,2025-04-28 05:18:26.102497
778,66,4,0.71,2025-03-16 05:18:26.102608
949,8,5,0.51,2025-08-21 05:18:26.102718
783,87,3,0.91,2025-08-22 05:18:26.102881
26,10,4,0.77,2025-07-14 05:18:26.103005
135,55,3,0.57,2025-04-16 05:18:26.103126
849,28,3,0.95,2024-12-24 05:18:26.103216
333,43,2,0.8,2024-11-17 05:18:26.103355
28,83,3,0.54,2025-06-10 05:18:26.103481
551,34,4,0.51,2024-10-01 05:18:26.103594
908,2,1,0.76,2025-06-21 05:18:26.103705
579,71,4,0.74,2025-02-04 05:18:26.103815
977,92,3,0.81,2025-06-09 05:18:26.103939
953,97,3,0.75,2025-06-20 05:18:26.104053
704,79,4,0.61,2025-06-10 05:18:26.104168
738,60,5,0.92,2025-02-04 05:18:26.104258
874,19,5,0.76,2025-04-07 05:18:26.104453
368,89,5,0.84,2024-12-06 05:18:26.104736
876,97,5,0.92,2024-11-16 05:18:26.104882
121,49,3,0.68,2025-03-15 05:18:26.105049
907,13,2,0.9,2024-12-17 05:18:26.105177
840,73,5,0.7,2025-08-07 05:18:26.105360
520,13,4,0.8,2025-08-27 05:18:26.105482
302,15,1,0.76,2024-11-03 05:18:26.105594
505,52,5,0.74,2025-01-13 05:18:26.105705
175,83,4,0.6,2024-10-20 05:18:26.105817
284,91,3,0.61,2025-06-09 05:18:26.105938
632,63,3,0.75,2025-08-03 05:18:26.106060
222,21,5,0.63,2025-01-27 05:18:26.106177
662,21,5,0.56,2025-08-04 05:18:26.106287
905,17,5,0.92,2025-07-22 05:18:26.106453
566,86,4,0.97,2024-11-14 05:18:26.106581
144,90,2,0.64,2024-12-23 05:18:26.106693
940,63,2,0.93,2025-08-24 05:18:26.106805
565,29,4,0.74,2025-05-25 05:18:26.106925
618,35,2,0.56,2025-03-17 05:18:26.107036
261,16,1,0.57,2025-02-07 05:18:26.107151
256,52,3,0.51,2025-05-31 05:18:26.107263
210,1,2,0.88,2025-01-30 05:18:26.107425
774,50,4,0.88,2025-08-30 05:18:26.107542
14,5,4,0.58,2025-02-23 05:18:26.107653
813,71,4,0.92,2025-07-03 05:18:26.107765
172,33,3,0.54,2025-09-12 05:18:26.107885
160,67,3,0.81,2025-07-11 05:18:26.107998
